מונח,תמונה_נוכחית,ממדים,upscale,bleed_תקין,חלופות_bleed,תמונות_לא_מתאימות
פשיטה,"לוחמי צה""ל בחאן יונס שבדרום הרצועה",2200×1468,0.87,כן,"חיילים במהלך פשיטה צבאית בעיירה טובאס שבגדה המערבית (2048×1365, ×0.94) | פשיטה על בתיהם של בכירי חמאס (1600×1066, ×1.2)",—
פשיעה לאומנית,ילד בביתו השרוף בכפר דיר אל־חטב,1536×1222,1.25,כן,"כתובת נאצה בכפר דיר אל־חטב (1200×896, ×1.6)","ההצתות רכבים בחווארה   (720×540, ×2.67)"
קו העימות,בית הרוס במטולה,4908×3272,0.39,כן,"טנקים של צה""ל בגבול לבנון (2560×1707, ×0.75) | נפילה בשטח פתוח באזור קריית שמונה (1600×784, ×1.38)",—
קפלניסטים,המשטרה מפנה באמצעות מכתזית מפגינים החוסמים את נתיבי איילון,1600×1067,1.2,כן,"מפגינים חוסמים את נתיבי איילון בתגובה ספונטנית לפיטורי גלנט (1200×800, ×1.6) | המחאה נגד המהפכה המשפטית של לוין (1280×720, ×1.5)",—
רצועת הבטחון,כוחות חטיבה 226 בתמרון בדרום לבנון,1600×1066,1.2,כן,"רצועת הבטחון בלבנון (1600×1066, ×1.2) | שמעון פרס ויצחק רבין בעמדת תצפית במזרח רצועת הבטחון בדרום לבנון (1600×900, ×1.2)",—
רצח עם, מתנחלים ב״מזבח יהושע״ בהר עיבל שבשטח B - במאבק על הכרתו כאתר מורשת עתיק,1500×872,1.28,כן,"הפגנה נגד המלחמה בתל אביב (1500×872, ×1.28) | מגורשים יהודים לפני עלייתם על רכבת הגירוש (1200×871, ×1.6)",—
שבויים,"חיילי צה""ל לצד שבויים מצרים ברפיח",1500×1002,1.28,כן,"שבויים סורים במלחמת ששת הימים (1500×939, ×1.28)","פעילים דתיים מ""השמאל האמוני"" (740×555, ×2.59)"
שוויון בנטל,מחאה למען השוויון בנטל בבני ברק,1200×800,1.6,כן,—,"הפגנת מתנדבי שנת שירות מול הכנסת נגד הקדמת השירות (740×555, ×2.59) | הפגנה במוצ""ש בצומת רעננה בדרישה לגיוס לכולם (740×544, ×2.59)"
שטח כבוש,"פעילות צה""ל ברצועת עזה",1280×852,1.5,כן,—,"כוחות ישראליים נכנסים למחנה הפליטים בלאטה בשכם  (800×534, ×2.4) | ארכאולוגים שחפרו בשטח כבוש (640×400, ×3)"
שלטון החוק,בית המשפט העליון,1290×860,1.49,כן,"אסתר חיות (1600×784, ×1.38) | בג""ץ בדיון בו פסל את החוק לביטול עילת הסבירות (1600×784, ×1.38)",—
שלטון הפקידים,גלי בהרב מיארה,1400×933,1.37,כן,—,"שי קלך (781×439, ×2.46) | דנה זילבר ושי ניצן (583×324, ×3.33)"
שמאלנים,שולמית אלוני,2238×1542,0.86,כן,"עצרת השלום בכיכר מלכי ישראל (1600×1008, ×1.2)","מפגינים נגד רה""מ נתניהו בבלפור (1024×682, ×1.88)"
תגובה,פעילות צהל ברצועה,1600×1066,1.2,כן,"מטוסי חיל האוויר בדרך לתקיפה באיראן (1600×900, ×1.2)","תקיפה ישראלית באיראן (996×560, ×1.93)"
תמרון קרקעי,חיילי צה״ל בגבול לבנון,5038×3352,0.38,כן,"כוחות צה""ל בגבול רצועת עזה (2400×1395, ×0.8) | הרמטכ״ל הרצי הלוי בתרגיל בגבול הצפון (2048×1366, ×0.94)",—
תעמולה,צ׳ארלי קירק,1920×1080,1,כן,"עמית סגל (1600×1067, ×1.2) | ינון מגל (1200×675, ×1.6)",—
